"useid","roomid","devicename","deviceid","dataid","data1","technology","starttime","endtime","roomid-2","locationid","name","type","floor","capacity","priority","processoraddress","maintenance_mode","status","createdat","lastmodifiedat","duration"
"75376","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-09-05 14:51:51.987+00","2019-09-05 14:56:54.036+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:05:02.049"
"50585","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 17:08:39.657+00","2019-08-08 18:18:45.299+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","01:10:05.642"
"48749","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-06 19:34:11.737+00","2019-08-06 20:04:13.674+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:30:01.937"
"49729","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-07 18:36:26.889+00","2019-08-07 19:01:28.071+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:25:01.182"
"55337","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-14 19:02:54.799+00","2019-08-14 20:33:03.704+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","01:30:08.905"
"49392","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-07 16:41:15.477+00","2019-08-07 16:51:15.317+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:09:59.84"
"50373","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 15:03:25.622+00","2019-08-08 15:33:27.794+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:30:02.172"
"56549","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-15 17:25:05.04+00","2019-08-15 17:55:08.194+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:30:03.154"
"54961","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-14 16:42:41.408+00","2019-08-14 17:02:42.625+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:20:01.217"
"55560","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-14 20:08:00.323+00","2019-08-14 20:33:03.704+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:25:03.381"
"50164","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 13:33:18.104+00","2019-08-08 15:33:27.794+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","02:00:09.69"
"50515","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 16:08:33.067+00","2019-08-08 17:03:37.603+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:55:04.536"
"49089","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-07 14:01:00.067+00","2019-08-07 14:31:01.211+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:30:01.144"
"50992","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 20:18:57.007+00","2019-08-08 20:28:57.697+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:10:00.69"
"49954","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-07 20:31:37.885+00","2019-08-07 21:11:40.205+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:40:02.32"
"54597","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-14 14:02:25.055+00","2019-08-14 15:07:31.516+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","01:05:06.461"
"50205","juvysfrf_1105","Receiver","DM-RMC-4K-SCALER-C_01","Sync_State","Connected","Presentation","2019-08-08 13:48:19.795+00","2019-08-08 14:33:23.76+00","juvysfrf_1105","Aviva_juvysfrf","Meeting Room","P3W","11th_floor","3-6",2,"00107FA554D2",NULL,"online","2019-04-12 22:05:43.494+00","2019-04-12 22:05:43.494+00","00:45:03.965"
