"useid","roomid","devicename","deviceid","dataid","data1","technology","starttime","endtime"
"97288","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 14:09:05.903+00","2019-09-30 15:04:11.974+00"
"97291","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 14:09:05.851+00","2019-09-30 15:04:11.993+00"
"97262","jw0z8r8c_Weston","Audio DSP","FORTE-DAN-VT_01","Call_State","Active","Audio","2019-09-30 14:06:05.734+00","2019-10-01 09:33:10.902+00"
"97430","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 15:04:11.997+00","2019-09-30 15:19:13.084+00"
"97431","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 15:04:12.013+00","2019-09-30 15:19:13.048+00"
"97512","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 15:24:13.844+00","2019-09-30 15:29:15.041+00"
"97509","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 15:24:13.877+00","2019-09-30 15:29:15.037+00"
"97511","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 15:23:43.757+00","2019-09-30 16:03:47.921+00"
"97510","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 15:23:43.742+00","2019-09-30 16:03:47.933+00"
"97529","jw0z8r8c_St-Johns","AirMedia","AM-200_01","Sync_State","Connected","Presentation","2019-09-30 15:34:15.408+00","2019-09-30 16:09:18.534+00"
"97549","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 15:39:15.004+00","2019-09-30 16:44:21.824+00"
"97584","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 15:58:47.136+00","2019-09-30 16:03:47.933+00"
"97585","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 15:58:47.1+00","2019-09-30 16:03:47.921+00"
"97622","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 16:23:50.016+00","2019-09-30 17:38:57.702+00"
"97621","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 16:23:49.994+00","2019-09-30 17:38:57.717+00"
"97681","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 17:04:23.788+00","2019-09-30 17:09:24.262+00"
"97683","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 17:04:23.802+00","2019-09-30 17:09:24.266+00"
"97630","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 16:29:20.768+00","2019-09-30 17:09:24.262+00"
"97629","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 16:29:20.772+00","2019-09-30 17:09:24.266+00"
"97722","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 17:11:25.028+00","2019-09-30 17:36:27.717+00"
"97835","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 17:46:28.813+00","2019-09-30 17:56:29.915+00"
"97815","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 17:41:28.659+00","2019-09-30 17:56:29.915+00"
"97837","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 17:48:58.805+00","2019-09-30 18:44:04.895+00"
"97836","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 17:48:58.785+00","2019-09-30 18:44:04.947+00"
"97875","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_02","Device_Sync","Connected","Presentation","2019-09-30 18:01:30.943+00","2019-09-30 18:06:30.777+00"
"98092","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 19:29:08.823+00","2019-09-30 21:49:23.083+00"
"98091","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 19:29:08.809+00","2019-09-30 21:49:23.14+00"
"98165","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 19:59:42.246+00","2019-09-30 20:24:44.684+00"
"98166","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-09-30 19:59:42.262+00","2019-09-30 20:24:44.702+00"
"98181","jw0z8r8c_Quebec","AirMedia","AM-300_01","Sync_State","Connected","Presentation","2019-09-30 20:04:42.955+00","2019-09-30 20:44:46.627+00"
"98341","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 12:25:51.088+00","2019-10-01 13:30:57.828+00"
"98340","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-01 12:25:51.069+00","2019-10-01 13:30:57.834+00"
"98360","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 12:48:29.884+00","2019-10-01 15:23:45.938+00"
"98781","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 15:28:46.167+00","2019-10-02 09:30:41.783+00"
"98895","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 16:18:52+00","2019-10-01 18:04:03.979+00"
"98889","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 16:13:51.496+00","2019-10-01 18:04:03.979+00"
"98872","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 16:03:50.087+00","2019-10-01 18:04:03.979+00"
"98919","jw0z8r8c_Halifax","AirMedia","AM-300_01","Sync_State","Connected","Presentation","2019-10-01 16:36:49.748+00","2019-10-01 20:37:13.865+00"
"99120","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-01 18:01:25.091+00","2019-10-01 18:31:27.721+00"
"99119","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-01 18:01:25.126+00","2019-10-01 18:31:27.797+00"
"99195","jw0z8r8c_Weston","Audio DSP","FORTE-DAN-VT_01","Call_State","Active","Audio","2019-10-01 18:14:04.765+00","2019-10-02 09:35:43.22+00"
"99274","jw0z8r8c_St-Johns","AirMedia","AM-200_01","Sync_State","Connected","Presentation","2019-10-01 18:37:01.621+00","2019-10-01 18:57:03.666+00"
"99861","jw0z8r8c_Quebec","AirMedia","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 14:04:03.318+00","2019-10-02 15:04:09.634+00"
"99951","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 14:33:29.947+00","2019-10-02 15:08:33.119+00"
"99952","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 14:33:29.979+00","2019-10-02 15:08:33.178+00"
"100092","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 15:19:12.63+00","2019-10-02 15:34:12.755+00"
"100090","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 15:19:12.656+00","2019-10-02 15:34:12.727+00"
"100102","jw0z8r8c_Vancouver","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 15:23:34.67+00","2019-10-02 16:03:38.956+00"
"100101","jw0z8r8c_Vancouver","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 15:23:34.71+00","2019-10-02 16:03:38.982+00"
"100155","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 15:39:12.738+00","2019-10-02 16:34:17.565+00"
"100196","jw0z8r8c_Weston","Transmitter","DM-TX-4K-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 16:01:24+00","2019-10-02 16:51:29.099+00"
"100220","jw0z8r8c_Quebec","AirMedia","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 16:14:16.918+00","2019-10-02 17:04:21.096+00"
"100381","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 17:29:24.239+00","2019-10-02 18:29:29.963+00"
"100384","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 17:29:24.218+00","2019-10-02 18:29:29.945+00"
"100493","jw0z8r8c_Edmonton","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 18:04:27.714+00","2019-10-02 18:29:29.945+00"
"100488","jw0z8r8c_Edmonton","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 18:04:27.677+00","2019-10-02 18:29:29.963+00"
"100490","jw0z8r8c_Calgary","Transmitter","DM-TX-4KZ-202-C_01","Device_Sync","Connected","Presentation","2019-10-02 18:04:27.837+00","2019-10-02 19:09:34.55+00"
"100489","jw0z8r8c_Calgary","Receiver","AM-300_01","Sync_State","Connected","Presentation","2019-10-02 18:04:27.852+00","2019-10-02 19:09:34.571+00"
