locationId (S),id (S),aws:rep:deleting (BOOL),aws:rep:updateregion (S),aws:rep:updatetime (N),capacity (S),description (S),floor (S),name (S),priority (N),type (S),createdAt (S),lastModifiedAt (S),status (S),processorAddress (S),calendar_events (NULL),updated (N),serviceHistoryFormat (L),serviceHistory (L),maintenance (BOOL),maintenance_start (S),maintenance_mode (BOOL),mm_start (N),technician (M)
Aviva_jt5yo7in,jt5yo7in_105,FALSE,us-east-1,1559592061,09-May,"Room Type:P3+T, Room Capacity:5-9",1st_floor,Training Room,2,P3+T,2019-03-29T20:27:58.600Z,2019-03-29T20:27:58.600Z,online,00107FC045A2,,1559592060,"[  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""System On: \nPerson Enters the Room, Display Turns ON, Defaults to Splash Screen"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""No Inputs Connected and System On: \nDisplay will default to splash screen, Correct Splash Graphic is Loaded"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""System Off: \nNo Inputs connected & No people detected, t= 5 min, system will turn off"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""A.Room Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Share Presentation, HDMI HDMI Retractor: \n- Connect HDMI, laptop is displayed\n- Test Retraction Mechanism, Speed\n- Inspect HDMI Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Web Conference, USB Retractor\n- Connect USB, laptop detects Camera and Speakerphone\n- Test Retraction Mechanism, Speed\n- Inspect USB Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Network, RJ45 Retractor:\n- Connect Network, receiving link lights [no network unless MAC Reserved Aviva machine]\n- Test Retraction Mechanism, Speed\n- Inspect RJ45 Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Ceiling Speakers: Audio playback for laptop audio plays through the ceiling speakers\n- Max level is acceptable\n- No distortion"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""B. Presentation"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone:\nPhone is powered and registered\nNo Damage to LCD, Mic, Speakers\nDial a call:\n- Verify Audio"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Cabling\nUSB and Ethernet cables are connected and neatly managed\n- Phone has slack of ~1'"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Extension Mics:Extension Microphones\n- LED works\n- No damage\n- Taped down in place"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""C. Audio Conference"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Room Peripherals (Camera, Speakerphone)\nUser connects USB cable to laptop, Camera is detected\n- Camera is level and not damaged"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Home Position\nWhen user is connected and Web Conferencing application is open, camera should be in the default room capture position"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""D. Web Conference/Telepresence"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Occupancy Sensor:\nSensor blinks with movement, sensitivity is set appropriately"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""E. Sub System Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Table Box\n- No damage to power module\n- lid opens and closes"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""USB Speakerphone? USB cable from the speakerphone to the USB Hub shall travel with the ethernet powering the phone to the underside of the table\n- Slack of the USB and Ethernet shall be equivalent"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:\nAll Cable from Table to Floor Box \n- All cables to the floor are managed through a sock to the floor, Cables shall travel vertically and execute a 90 degree bend to the floor box"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Terminations:\nCable Management @ Floor Box\n- All cables are terminated\n- Connector are suitable for location (Std vs. Rugged)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management\nBehind the Display equipment is accessible (Power Cord, LAN Cable) without removing TV\n- DM\n- Wx Gateway/Signage/PC"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Display Installation\nDisplay is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Installation\nCamera is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""NULL"" : true }            }          }        ]      },      ""item"" : { ""S"" : ""F. Physical System"" },      ""title"" : { ""BOOL"" : true }    }  }]",,FALSE,1.55562E+12,FALSE,0,"{  ""custom:user_group"" : { ""S"" : ""hpc-admin"" },  ""email"" : { ""S"" : ""eric@hit-play.com"" },  ""email_verified"" : { ""S"" : ""true"" },  ""family_name"" : { ""S"" : ""Rauch"" },  ""given_name"" : { ""S"" : ""Eric"" },  ""sub"" : { ""S"" : ""1aa25d2e-8ea2-460c-ab36-ffcf48e5d7d0"" },  ""updated_at"" : { ""S"" : ""1515080813"" }}"
Aviva_jt5yo7in,jt5yo7in_107,FALSE,us-east-1,1559592114,09-May,"Room Type:P3+, Room Capacity:5-9",1st_floor,Meeting Room,2,P3+,2019-03-29T20:27:58.559Z,2019-03-29T20:27:58.559Z,online,00107FC045A2,,1559592113,"[  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""System On: \nPerson Enters the Room, Display Turns ON, Defaults to Splash Screen"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""No Inputs Connected and System On: \nDisplay will default to splash screen, Correct Splash Graphic is Loaded"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""System Off: \nNo Inputs connected & No people detected, t= 5 min, system will turn off"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""A.Room Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Share Presentation, HDMI HDMI Retractor: \n- Connect HDMI, laptop is displayed\n- Test Retraction Mechanism, Speed\n- Inspect HDMI Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Web Conference, USB Retractor\n- Connect USB, laptop detects Camera and Speakerphone\n- Test Retraction Mechanism, Speed\n- Inspect USB Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Network, RJ45 Retractor:\n- Connect Network, receiving link lights [no network unless MAC Reserved Aviva machine]\n- Test Retraction Mechanism, Speed\n- Inspect RJ45 Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Ceiling Speakers: Audio playback for laptop audio plays through the ceiling speakers\n- Max level is acceptable\n- No distortion"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""B. Presentation"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone:\nPhone is powered and registered\nNo Damage to LCD, Mic, Speakers\nDial a call:\n- Verify Audio"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Cabling\nUSB and Ethernet cables are connected and neatly managed\n- Phone has slack of ~1'"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Extension Mics:Extension Microphones\n- LED works\n- No damage\n- Taped down in place"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""C. Audio Conference"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Room Peripherals (Camera, Speakerphone)\nUser connects USB cable to laptop, Camera is detected\n- Camera is level and not damaged"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Home Position\nWhen user is connected and Web Conferencing application is open, camera should be in the default room capture position"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""D. Web Conference/Telepresence"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Occupancy Sensor:\nSensor blinks with movement, sensitivity is set appropriately"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""E. Sub System Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Table Box\n- No damage to power module\n- lid opens and closes"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""USB Speakerphone? USB cable from the speakerphone to the USB Hub shall travel with the ethernet powering the phone to the underside of the table\n- Slack of the USB and Ethernet shall be equivalent"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:\nAll Cable from Table to Floor Box \n- All cables to the floor are managed through a sock to the floor, Cables shall travel vertically and execute a 90 degree bend to the floor box"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Terminations:\nCable Management @ Floor Box\n- All cables are terminated\n- Connector are suitable for location (Std vs. Rugged)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management\nBehind the Display equipment is accessible (Power Cord, LAN Cable) without removing TV\n- DM\n- Wx Gateway/Signage/PC"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Display Installation\nDisplay is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Installation\nCamera is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""NULL"" : true }            }          }        ]      },      ""item"" : { ""S"" : ""F. Physical System"" },      ""title"" : { ""BOOL"" : true }    }  }]",,,,,,
Aviva_jt5yo7in,jt5yo7in_111,FALSE,us-east-1,1559592133,09-May,"Room Type:P3W, Room Capacity:5-9",1st_floor,Meeting Room,2,P3W,2019-03-29T20:27:58.502Z,2019-03-29T20:27:58.502Z,online,00107FC045A2,,1559592132,"[  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""System On: \nPerson Enters the Room, Display Turns ON, Defaults to Splash Screen"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""No Inputs Connected and System On: \nDisplay will default to splash screen, Correct Splash Graphic is Loaded"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""System Off: \nNo Inputs connected & No people detected, t= 5 min, system will turn off"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""A.Room Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Share Presentation, HDMI HDMI Retractor: \n- Connect HDMI, laptop is displayed\n- Test Retraction Mechanism, Speed\n- Inspect HDMI Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Web Conference, USB Retractor\n- Connect USB, laptop detects Camera and Speakerphone\n- Test Retraction Mechanism, Speed\n- Inspect USB Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Network, RJ45 Retractor:\n- Connect Network, receiving link lights [no network unless MAC Reserved Aviva machine]\n- Test Retraction Mechanism, Speed\n- Inspect RJ45 Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""B. Presentation"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone:\nPhone is powered and registered\nNo Damage to LCD, Mic, Speakers\nDial a call:\n- Verify Audio"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Cabling\nUSB and Ethernet cables are connected and neatly managed\n- Phone has slack of ~1'"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""C. Audio Conference"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Room Peripherals (Camera, Speakerphone)\nUser connects USB cable to laptop, Camera is detected\n- Camera is level and not damaged"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Home Position\nWhen user is connected and Web Conferencing application is open, camera should be in the default room capture position"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""D. Web Conference/Telepresence"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Occupancy Sensor:\nSensor blinks with movement, sensitivity is set appropriately"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""E. Sub System Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Table Box\n- No damage to power module\n- lid opens and closes"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:\nAll Cable from Table to Floor Box \n- All cables to the floor are managed through a sock to the floor, Cables shall travel vertically and execute a 90 degree bend to the floor box"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Terminations:\nCable Management @ Floor Box\n- All cables are terminated\n- Connector are suitable for location (Std vs. Rugged)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management\nBehind the Display equipment is accessible (Power Cord, LAN Cable) without removing TV\n- DM\n- Wx Gateway/Signage/PC"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Display Installation\nDisplay is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Installation\nCamera is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""NULL"" : true }            }          }        ]      },      ""item"" : { ""S"" : ""F. Physical System"" },      ""title"" : { ""BOOL"" : true }    }  }]",,,,,,
Aviva_jt5yo7in,jt5yo7in_117,FALSE,us-east-1,1559592377,0,"Room Type:0, Room Capacity:0",1st_floor,LAN Room,2,LAN,2019-03-29T20:27:58.685Z,2019-03-29T20:27:58.685Z,online,00107FC045A2,,,,,,,,,
Aviva_jt5yo7in,jt5yo7in_131,FALSE,us-east-1,1559592133,09-May,"Room Type:P3W, Room Capacity:5-9",1st_floor,Meeting Room,2,P3W,2019-03-29T20:27:58.539Z,2019-03-29T20:27:58.539Z,online,00107FC045A2,,1559592132,"[  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""System On: \nPerson Enters the Room, Display Turns ON, Defaults to Splash Screen"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""No Inputs Connected and System On: \nDisplay will default to splash screen, Correct Splash Graphic is Loaded"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""System Off: \nNo Inputs connected & No people detected, t= 5 min, system will turn off"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""A.Room Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Share Presentation, HDMI HDMI Retractor: \n- Connect HDMI, laptop is displayed\n- Test Retraction Mechanism, Speed\n- Inspect HDMI Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Web Conference, USB Retractor\n- Connect USB, laptop detects Camera and Speakerphone\n- Test Retraction Mechanism, Speed\n- Inspect USB Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Network, RJ45 Retractor:\n- Connect Network, receiving link lights [no network unless MAC Reserved Aviva machine]\n- Test Retraction Mechanism, Speed\n- Inspect RJ45 Head for Damage"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""B. Presentation"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone:\nPhone is powered and registered\nNo Damage to LCD, Mic, Speakers\nDial a call:\n- Verify Audio"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Speakerphone, Cabling\nUSB and Ethernet cables are connected and neatly managed\n- Phone has slack of ~1'"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""C. Audio Conference"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Room Peripherals (Camera, Speakerphone)\nUser connects USB cable to laptop, Camera is detected\n- Camera is level and not damaged"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Home Position\nWhen user is connected and Web Conferencing application is open, camera should be in the default room capture position"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""D. Web Conference/Telepresence"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Occupancy Sensor:\nSensor blinks with movement, sensitivity is set appropriately"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""E. Sub System Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Table Box\n- No damage to power module\n- lid opens and closes"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:\nAll Cable from Table to Floor Box \n- All cables to the floor are managed through a sock to the floor, Cables shall travel vertically and execute a 90 degree bend to the floor box"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Terminations:\nCable Management @ Floor Box\n- All cables are terminated\n- Connector are suitable for location (Std vs. Rugged)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management\nBehind the Display equipment is accessible (Power Cord, LAN Cable) without removing TV\n- DM\n- Wx Gateway/Signage/PC"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Display Installation\nDisplay is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Installation\nCamera is Level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""NULL"" : true }            }          }        ]      },      ""item"" : { ""S"" : ""F. Physical System"" },      ""title"" : { ""BOOL"" : true }    }  }]",,,,,,
Aviva_jt5yo7in,jt5yo7in_Boatys,FALSE,us-east-1,1559592151,10-50,"Room Type:Boaty's, Room Capacity:10-50",1st_floor,Boaty's,2,Boaty's,2019-04-18T19:55:53.924Z,2019-04-18T19:55:53.924Z,online,00107FBBD6D0,,1559592150,"[  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Touch Panel: System On: System turns on when a user selects Presentation"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Touch Panel: No Inputs Connected and System On: Display will defaults to blank screen (stay's on same input)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Touch Panel: System Off: Press power button the side of the Touch Panel, Confirm Shutdown, System Turns Off"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Automated: Daily Preset: Display Turns On: 7am\nDefault Input: Cable TV"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Automated: Presentation ON: Plug in HDMI, Display Turns ON, Auto Switches to correct input"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Automated: System Off: Display Turns Off: 7pm \nOr\nNo Cable TV and No Laptop"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""A.Room Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Front Input\nShare Presentation, HDMI: Select Presentation > Presenter Input> Connect HDMI, laptop is displayed\n- Test mDP to HDMI\n- USB-C to HDMI\n- Lightning to HDMI\nVerify splash screen indicates device connected"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Moderator Input\nShare Presentation, HDMI: Select Presentation >  Moderator Input >  Connect HDMI, laptop is displayed\n- Test mDP to HDMI\n- USB-C to HDMI\n- Lightning to HDMI\nVerify splash screen indicates device connected"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Front Input\nLaptop Via HDMI, USB: Users connects laptop\n- Acceptable resolutions: 1280x720 or 1920x1080 \n- Audio plays through Speakers\n- Image is scaled to the display (aspect and resolution)"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""B. Presentation"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [        ]      },      ""item"" : { ""S"" : ""C. Audio Conference"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Presenter Input\nSkype Meeting: Select Presentation > Presenter Input> Connect HDMI & USB, laptop is displayed\n- Launch application (Skype or WebEx)\n- Laptop should detect Biamp (Mic and Speakers) and Logitech Camera\n- Run Test Call [Laptop displayed on TV, Return Audio through speakers, Mics to far end)\n- Verify no Echo and high audio quality for far end\nVerify splash screen indicates device connected"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Camera Home Position: 3 Presets are set in Touch Panel\n- Presenter Wide\n- Presenter Zoom\n- Room Wide"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Moderator Input\nLive Stream: Select Presentation > Moderator Input>  Connect HDMI from laptop to wall, Connect HDMI and Analog audio to BlackMagic Web Presenter and & USB from Web Presenter to the laptop \n- Launch application (Collective, Livestream etc.)\n- Laptop should detect Web Presenter (Mic and Clearone Camera)\n- Run Live Stream [verify laptop audio through speakers, mic and camera through application"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""D. Web Conference/Telepresence"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Cable TV: Control Channels for the Cable TV via the IR Extender located on the TV"" },              ""title"" : { ""BOOL"" : false }            }          }        ]      },      ""item"" : { ""S"" : ""E. Sub System Control"" },      ""title"" : { ""BOOL"" : true }    }  },  { ""M"" : {      ""children"" : { ""L"" : [          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:All Cable from Table to Wall Plate\nScenario A: Leg does not meet wall\n- All cables to the Wall Plate are managed under the table top, in a sock to the wall. Cables shall execute a 90 degree bend at the wall (generous bend radius) and travel vertically to the wall plate\nScenario 2: Leg meets Wall\n- All cables to the Wall Plate are manage through the furniture leg system to the wall. Cables shall execute a 90 degree bend at the wall (generous bend radius) and travel vertically to the wall plate"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Touch Panel: Jumper Color\n- Color Matches Environment"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management:\nBehind the Display equipment is accessible (Power Cord, LAN Cable) without removing TV\n- DM\n- Wx Gateway/Signage/PC"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Display Installation: display is level"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Cable Management: Rack wiring\n- No wiring is under stress when rack is in place\n- Neat & Labeled"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Serviceability: Rack is accessible (Can be removed if installed in a credenza)"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""S"" : ""Thermal Management: Rack has \n- appropriate ventilation\n- fan if required"" },              ""title"" : { ""BOOL"" : false }            }          },          { ""M"" : {              ""item"" : { ""NULL"" : true }            }          }        ]      },      ""item"" : { ""S"" : ""F. Physical System"" },      ""title"" : { ""BOOL"" : true }    }  }]",,,,,,
GS1_js3esr7t,79WSW_3335A,FALSE,us-east-1,1555959701,20-100,"Room Type:Type 5, Room Capacity:20-100",8th_Floor,LAN,2,Type 5,2019-04-22T19:01:40.343Z,2019-04-22T19:01:40.343Z,online,00107FBB9ED3,,,,,,,,,
GS1_js3esr7t,js3esr7t_Conf-1,FALSE,us-east-1,1555539504,20-Oct,"Room Type:Type 1, Room Capacity:10-20",8th_Floor,Conf-1,2,Type 1,2019-04-17T22:18:22.517Z,2019-04-17T22:18:22.517Z,online,00107FBB9ED3,,,,,,,,,
GS1_js3esr7t,js3esr7t_Conf-2,FALSE,us-east-1,1555539504,20-Oct,"Room Type:Type 1, Room Capacity:10-20",8th_Floor,Conf-2,2,Type 1,2019-04-17T22:18:22.535Z,2019-04-17T22:18:22.535Z,online,00107FBB9ED3,,,,,,,,,
GS1_js3esr7t,js3esr7t_Conf-3,FALSE,us-east-1,1555539504,20-Oct,"Room Type:Type 1, Room Capacity:10-20",8th_Floor,Conf-3,2,Type 1,2019-04-17T22:18:22.536Z,2019-04-17T22:18:22.536Z,online,00107FBB9ED3,,,,,,,,,
